电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
西西里的美丽传说,8.9,654918,看到了人性的丑恶更是看到了人性的光辉一个性启蒙时期的少年雷纳多爱上了成熟美艳的少妇玛莲娜那些为了能见到她为了能碰到她而骑着自行车狂奔的时刻像是在追逐自己的幸福那些因为看到别人诋毁自己喜欢的女人而去报复的小动作那个在教堂里虔诚的跪在圣象面前喃喃自语的说在我未有能力照顾好她之前请神一定要好好保护她的少年那个亲眼目睹她因为生活所迫而被迫出卖肉体去换取卑微的生活用品时看到她被那些世俗的男子拥抱在怀里那种悲愤交加的心情的少年个中掺杂的辛酸和怨恨还有嫉妒又有谁可以明白呢这是一个少年最初的爱啊会记得那个女人被小镇人唾弃侮辱的时候少年的眼泪哗啦啦的流着就像那些难以言明的痛楚一样还有在月台上少年看着自己一直爱的女人落魄的离开小镇时那双洋溢着不舍和爱的眼睛里目睹着火车的渐行渐远像是在把少年的思念延续到远方一样我想尽管火车带走了她但少年那份爱是任何时间和距离都无法跨越的这个少年就是爱的如此执着爱的如此刻骨铭心感谢导演托纳托雷在最后把尊严还给了玛莲娜这个曾被世俗所堙灭的美丽女人在洗尽铅华过后重返小镇在广场上在众人的诧异和谈论中丈夫挽着她的手她依靠在丈夫的怀里目无表情的穿越过人群那些曾垂涎并且无耻的占有过她肉体的男人们看到她的那份淡定和从容不知他们会不会有所反思想起片中的一句话只有重返旧地才能重拾尊严这也许是对玛莲娜最好的褒奖不得不提的是玛莲娜那位被误以为战死于沙场的断臂丈夫在经历了一场因狂热的民族主义而爆发的战争后带着已有残缺的身体和疲惫不堪的心回到他的故乡或许生命于他而言唯一还有一点希望的是他一直以为他的妻子还有他们的家一直在等待着他的归来只是当他回到那个小镇回到他曾经的家却再也找不到他的妻子爱人没有人告诉他玛莲娜在他离开之后所遭受的种种不平没有人告诉他玛莲娜的下落只有小镇的人对他的无尽的讥讽和嘲笑他甚至必须和难民一起拥挤在曾属于他和她的温暖小家里会想起电影的这些镜头在沉默的黑夜里他背对着镜头沉思尽管看到他的表情但我想那便是关于落寞的最好诠释还好有雷纳多的帮助或许说是这为丈夫对玛莲娜的爱让他去相信自己的妻子在是非面前依然坚定不移的相信自己妻子的人这才是真正的好男人再美好的花前月下的承诺也比不上他在黎明之前踏上列车去远方寻找妻子的动作因为这才是真爱我喜欢这个男人他让我有理由相信男人除了所谓的好色和花心以外还有一种所不能获缺的品质它的名字叫责任影片最后这个叫黎诺的玛莲娜的丈夫用仅存的一只手臂挽着妻子穿越所有的人穿越所有的舆论和诧异穿越所有小镇的人曾对他们夫妇的伤害表情坚定就如他对妻子的信任和爱看到这里若是要我以一个词来形容这个戏份并不多的男人我想到的是绅士优雅的绅士真正的男人真正的好男人其实或许我应该把重点放在影片主角雷纳多身上但我却不想对他做过多的评论我相信看这部片的每个人会以不同的角度去审视他看待他我想说的是在他的身上我看到了一个少年在成为一位男人的过程里在面对着所谓的“爱情”时面对自己真正喜欢和爱的女人时所有的细腻心情包括很多看似荒诞但却真实反映人性的动作也许这少年浓烈的感情里面包括占有嫉妒或许还有少年时对感情浓烈的企盼但请别怀疑这个少年对自己喜欢的女人的爱在雷纳多最后看到那个曾深爱的女人玛莲娜时看到她也开始老了胖了开始有皱纹了不再是那个穿着丝袜身着性感的美丽女子了但我不怀疑他的爱会因为玛莲娜的容颜逝去而有所褪减也许是他成熟了懂得了真正的爱最后的镜头里雷纳多骑着他那辆自行车在向前行的同时不时回头看渐行渐远的玛莲娜也许这个细微的动作已足以说明他所有内心的爱“好象要逃避似的逃避的是我对她的一段纯真之情岁月匆匆而今我爱上过许多女人当她们紧紧拥抱我时问我会不会记挂她们我相信我当时的心里是会的但唯一我从来没忘记的是一个从来没问过我的人她就是玛莲娜”---雷纳多,震撼全城的美貌，罪恶之源，情欲之源，纯真之源。这是公共意淫、诋毁、同化的典范。,原来男孩子青春期是这个样子地，原来女人美丽起来是这个样子地，原来登徒子的沉默和中年妇女的疯狂是这个样子地……,关键时候男人都不出来帮他们的女神，不过如此,当你不再年轻艳丽，当你的丈夫回到了身边，那么你就成了那群丑妇的朋友。
罗马假日,9.0,664173,没有看过这个的经历会显得自己太无知老土，看过了，觉得真是金童玉女啊，真是令人向往的爱情啊！真是......尽管看完了该无知还无知，老土的也没变洋气，毕竟主人公那长相那气质不是几个整容手术几部电影能成就的。,赫本，无与伦比的美丽。,因为罗马，所以经典。因为短暂，所以永恒。顶着锅盖说一句：其实赫本的气质大过演技～,当他把手伸进去，她的表情美丽极了……,离开你并不是因为不爱你
致命ID,8.8,526552,他的人格实在是个竞争市场。由此可见，寡头和垄断未尝不好。,医生的治疗方案是让不同人格互相残杀以产生幸存者，但残杀所诞生的幸存者就不可能是最优人格,吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！,本以为是娱乐片，却是一部精彩的悬疑片，和《记忆碎片》一样，不到结尾不见真相。前段或许有些老套，但进行到中段的解谜阶段就很紧张了，后面的真相揭开后，又将剧情推向一个让人瞠目结舌的高潮，难得的是在结尾，居然再次给了观众心灵一记刺痛。善与恶，原本就是一体的。PS:1.以罪犯幻想之情节名义给剧本许多地方逻辑推理不足找到了借口2.Mhotel又有何寓意呢3.对影片营造的黑夜，阴冷，潮湿氛围很中意last.每个人或许都有多重人格，后怕。H22008.7.1203:38,救命啊，金牛座遭遇大屠杀...
疯狂动物城,9.2,1190559,树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！,港真，面对人家动画片里连一把椅子扶手上的铝合金划痕都做得活灵活现的态度，咱们就默默低头学就好，不要一天到晚吹“国产视效大片”这个概念了，略尴尬,看过了这一部，我好像能够更坚定地说我会当迪士尼一辈子的粉丝。迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w<最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜><）虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...,完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画
唐伯虎点秋香,8.6,670009,"哈哈哈.其实我是周星星FANS,心情不好看他的电影会边开朗.这个看了好多次了.一群人一起看最好玩.",巩俐真难看,可以忽略秋香……,经典中的经典,电视上常常重播这部，真奇怪。
情书,8.9,618352,暗恋的极致,总是点到为止的岩井俊二.,无聊！找了半天真相才发现自己是个替身……傻比青年啊……,那些没有开口的告白，最终还是让你听见了。,无论如何都会流下热泪的电影，五星又怎么够！
喜剧之王,8.7,622031,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】,以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆,周星星电影中最喜欢的一部,“我是一个演员”，我最爱的周星驰作品，笑得流泪,“哇你怎么穿成这样啊？你不是演主角吗？不管你是主角也好，跑龙套的也好你都要养我一辈子的啊！呐，试试，看合适不合适？哇红色的，唇膏印啊，你去鬼混啊！呐，这次我放你一条生路啊，再有下次，我不给你饭吃。走，走啊。看什么看？不服气呀？打我呀，笨蛋！”
超脱,8.9,305367,少年时，我们都自私无知，夸张那些伤痛来当作放纵的借口。只知依赖不知自救，只知索取不知珍惜。打架，滥交，还自以为是看透了生命，绝望的很酷，其实肤浅的令人发指。孩子，什么时候你开始沉默的承受加诸你身上的重量，尊重它并与它和平相处，你才真的能称为一个大写的人。,这是一部不推荐看的好电影。没病的都要看出病的。好的作品分两种，一是发现世界的极美，二是挖掘人间的极苦。这部就是后者。,一次次泪倾，哭到胸口抽痛、难以呼吸。当我们感到需要暖意，首先要学会的，是彼此拥抱。穷尽一生，我们要学会的，不过是彼此拥抱。只因“一个人可以轻易地学会不在乎，但学会在乎，却要付出百倍的努力和勇气”，再不要独自一人穿过灰暗暝寂的暮色，在摇摇欲坠之前，在生命荒芜心脏冷却之前，彼此拥抱。,每个人的内心都是一座孤岛，人的心有多深，深到让别人无法试探的地步？教育和生活其实一样，教育者既可以超然物外，也可以放下防备与被教育者心灵交互。讽刺的却是，超脱既可以赢来尊敬，也一样能扼杀心灵。AdrienBrody终于跳出了烂片的泥潭，用忧郁气质和演技，再次将人性的考量重重甩在了观众脸上。,托尼·凯耶这么多年了，拍片仍然是一副死不回头的独立范儿，各种伪记实、访谈与剧情相结合以拉近观众的距离。整部影片始终弥散着一股伤感、落魄的情绪。很多男人都想在大街上拯救一个雏妓吧。布罗迪的表演很加分。
闻香识女人,9.1,576589,"当我心中的正直感逐渐淡去之时,我庆幸我看到此片.",刚开始，我觉得阿尔帕西诺演得有些用力了。但是看完，我觉得他就应该这么演。甚至那个年轻人O'Donneil也被他带动出极好的水准。探戈，演说。几近完美的一部片子。,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★,史上最美的探戈,美酒佳肴衣鬓香影，一曲绝世探戈，尽情绽放然后死……连自杀都这么浪漫。片名叫人没有看的欲望，看完却觉得再适合不过。你我身边都可能会有这样一位愤世嫉俗自以为是夸夸其谈的老顽固，在他身边多呆一秒都是折磨，然后某一天发现他身上的优点比你所能想象的更多。
无间道,9.2,821472,牛就牛在，他让所有演员都达到了巅峰,当年我深刻的爱上了梁朝伟同学,我还是不能理解为什么美国人可以这么无耻直接拿本子过去拍出烂片还得了奥斯卡但是不给这部片子正名?,“出来混，迟早要还的。”别说，这种港片老爸老妈们已经欣赏不了了，就连弟弟一起看都没坚持看完，哎，我说，片子都这么牛逼了，对你们来说却成不了经典，叹息。,看了美版的，才知道港版有多好看~55555555
拯救大兵瑞恩,9.0,432925,如果没有办法想起他什么样子，就试着想想和他共渡的时光。,厄本这个角色很有意思，懦弱，非常懦弱，还有一种可笑的浪漫和无知的善良。他才是你我他，对战争的残酷抱有一种可耻的畏惧，并对其有好心的幻想。可惜事实并非如此，战争就是你死我活，战争是考验勇气的时刻，而非善心。胆小的也许能活下来，但在战争中，你已经输了。而那些死了的勇士，他们才是胜利者,战争电影No1，美利坚精神输出大片。,为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。,我心目中的永恒经典。不知道集结号借用了他多少情节。反正不少。
断背山,8.8,510146,老公哭的稀里哗啦，我怀疑他有隐情，所以我都没看进去……,看来我没有弯的潜质，一上来我就把攻受猜反了,Ennis不爱男人，也不爱女人，他只爱Jack。“希斯·莱杰和吉伦哈尔让这个痛苦的感情故事在我们身体中蔓延，莱杰先生神奇且难以置信地从他自己的身上消失而完全融入了角色，这是一个在银幕上可以企及马龙·白兰度和西恩·潘的表演”人人心中都有一座断背山，那是一个永远也无法抵达的梦-李安,【剧透】你有一个挚爱你的人，但我不敢说你也挚爱着他，因为你有太多的怯懦。我当然知道你爱他，你哭着对那两件衬衣发誓，让我也跟着掉泪。只不过我还是会想：或许你更爱你自己。他死了，再也不能爱你了，你后悔了吗？,如果一生不能和最爱的人渡过，那贫富喜怒又有什么区别，责任信仰又有什么意义。
倩女幽魂,8.7,475499,唉，王祖贤哪有张国荣漂亮,這個聶小倩，爾等休想再超越！,两张绝世的脸。,宁采臣只是张国荣的。,多年后看，还是好看。
辩护人,9.2,409446,如果在影院看这部电影，我会起立鼓掌，只是不知道有生之年有没有在中国影院看到这样电影的机会。当我们在自卑到狂妄的心理下吹嘘自己贬低邻国时；当我们对一切黑暗和罪恶习以为常并理所应当时；当我们成为这些行为的帮凶时...我们闭上眼睛装作看不见，其实已经落后人家30年，并且差距只会越来越大...,一部改变现实的电影：釜山地方法院于2014年2月13日对“釜林事件”进行了二审宣判，判决5名被告人无罪，距离一审判决时隔33年。“因为国民不富裕就不能受法律保护，就不能享受民主，这种说法我是无法接受的。”——宋佑硕,韩国电影再一次展现法制边缘的尺度问题，这一切在贵国恐怕是不能发生的。可以自由表达真好，可以潜心创作真好，可以有这样无边无际的影像环境真好。结合实事再看电影，心中无限悲凉，一切无能为力，好想逃离。,一部电影，看完后，留给人们思考的空间越大、时间越长，电影的张力就越大，价值就越厚重，对人们的影响就会越加深而广。《辩护人》-----我想，当我满头白发时，无论脚下的这片土地变或不变，我依然会记得宋佑硕放弃安稳选择颠簸的理由：想让我的孩子们，还有你的孩子，不要生活在这种荒唐的时代。,我所生活的社会，通过示威改变世界，做梦去吧。但是以卵击石，石虽坚利却是死物，卵甚脆弱仍焕新生。问题是，我国中产想要发起革命，国民所得起码要提高三倍。还不是时候。1:16开始的三分钟长镜头展现宋大叔的铿锵机智与沉稳。就算是理想，也容我动容。在此对韩国历史上最低学历总统致以敬意。
