电影名,评分,评论数,热评1,热评2,热评3,热评4,热评5
剪刀手爱德华,8.7,769067人评价,爱德华的眼睛让人心疼,"JohnnyDepp最经典的一部片.
很美丽的童话.
那个孤独而美丽的爱德华让我至少哭了两遍!",童话真美好 现实太聒噪,Adward脆弱的眼神永远忘不掉,这片居然没有修复版！即使在TB的作品中，这都算得至纯真的一部。发明家死的时候Ed弄坏了原本是要送他作为圣诞礼物的人造手，他试图抚摸至亲的脸却只留下血痕<--姐的泪点在这里。想不到这次边上有人几乎同时开哭，而且哭得好大声。灯亮之后发现那是个清朗的白发大叔，好可爱
阿凡达,8.7,909721人评价,这电影的特效是自指环王以后见过的最令人惊艳的。我觉得可以打6星！去看的时候一定要去看3D版的。,"全宇宙也就天朝的钉子户最弱势了。
潘多拉版风中奇缘。另外我buy所有生物都是生态网络中相互连接的神经元这个idea。",汗，这片基本论调就是反人类嘛。这个电影是一定要去影院看的，就算没有IMAX，起码也要看个3D的。而下载党和碟党都可以考虑放弃这个电影了。因为除了视觉刺激，单从剧情看，有太多值得选择的电影。,从现在到未来，从地球到潘多拉，《阿凡达》再次告诉我们，要想泡到一个姑娘，有一辆好车是多么的重要啊～～,所有3D片给我的感受都是一个样：戴两副眼镜真累，剧情真EASY，随随便便就完了。
天使爱美丽,8.7,738699人评价,他買來她要的酵母淘氣的躲在門背後，撩動簾子，一轉身，結果是那只可恶的黑貓，於是，她哭了。,洋溢着法国人的性格风情,配乐大好，剪辑大好.别的不够好. 至少不对胃口 到现在只对片子最开始的部分 也即艾米莉的自述印象深刻了 尝试做爱如何，但是感觉不太好. 那个微笑的表情,看名字就不怎么想看的一部片子，果然片子色彩那么美，女主角长得也不错，性格很萝莉，但就是不喜欢。她整水果摊老板的手段太刻薄了,浓重的法国情调，舒缓，镜头语言动听。女主角漂亮。唯一的不足就是……这样的爱情会不会太作了？爱情就是门口经过的大巴，现在不上，以后都不能再上了……
摩登时代,9.3,185100人评价,"惭愧死了，这才是我第一次真正看卓别林的电影。在放映之前我还想，为什么人们要叫他“大师”？不就是一个演员么。结果几秒以后，字幕上映，导演，编剧，主演，甚至音乐配乐都是卓别林创作的。我完全被震撼，真的是大师啊……

这是一部又辛酸又喜剧的片子，对当时的社会不论是在工业，政治，还是生活",这是卓别林第一部有声片，他尽可能写一个对话剧本，尽可能尝试一次“声音”的实验，然而由于卓别林坚持一贯的“流浪汉”角色，“声音”似乎又与角色不协调。反观，声音又以一种独特的方式呈现，我们听到的机械设备（有声）对人的打压（无声）正符合了电影主题的象征。,他是个天才。|他们两个坐在草地上遐想向往的生活的时候，神情是多么的美好啊~,这就是经典啊,卓别林总带有纯真的浪漫。影片宛如他早年时代的缩影，尽管工作根本无法让人过上体面的生活，却依旧保持着乐观。就像结尾，你根本不知道明天会在哪儿，还是会跟着他走下去。
加勒比海盗,8.7,602028人评价,船长还能再帅一点么－。－  放荡不羁 霸气外露 豪情四溢 男人的极致啊,"“因为地平线一直在那。你想到达那儿，但你永远到达不了。就是那样，遥不可及难以放弃。” 
",在海岛的时候连看了三部，就记得第一部的剧情，2，3都忘记了,原创感十足，船长乃实在太美了！,船长登陆那一段，有点创意。
致命ID,8.8,528372人评价,"恐怖？剧情？科幻？探案？四不像！
我也想搞上十个自己，大家一起玩dota",精妙绝伦的剧本。大量的细节描写使得影片非常耐人寻味，切换焦点时镜头的微小变动更是非常隐喻。结局倒不出乎我的意料，这种片子到最后肯定会回头给观众一枪。编剧太牛了，前后呼应的巧妙简直让人佩服得五体投地。即使是6年前的片子，如今看来也生猛十足。,对阿婆的《无人生还》的一个相当有才的致敬。,吓得我都要人格分裂了！！！以后打死都不要再看恐怖烧脑片！！！！！,没办法不打五星啊，虽然不到一半就猜到了结局。
喜剧之王,8.7,624666人评价,张柏芝的演技和她的美同样不会让人怀疑!,“我是一个演员”，我最爱的周星驰作品，笑得流泪,那时候的她无论多少流言蜚语都无所谓,戏梦人生，笑中带泪，好作品,失望！太想真诚，倒显得做作了
断背山,8.8,511537人评价,Ennis不爱男人，也不爱女人，他只爱Jack。“希斯·莱杰和吉伦哈尔让这个痛苦的感情故事在我们身体中蔓延，莱杰先生神奇且难以置信地从他自己的身上消失而完全融入了角色，这是一个在银幕上可以企及马龙·白兰度和西恩·潘的表演” 人人心中都有一座断背山，那是一个永远也无法抵达的梦-李安,这部电影于我，后劲很大,看来我没有弯的潜质，一上来我就把攻受猜反了,原来爱情都相同，只是戴着不同的面孔。,深邃的大山和静谧的流水，一段如歌的爱情与疼痛的秘密。
幽灵公主,8.9,375741人评价,老宫最宏伟的巨作,尽管由五小时缩减至两小时略显晦涩，尽管为商业目的加入过多感情戏，然而剧本酝酿长达十六年的本片是宫崎骏的顶峰与转折。史无前例的13.5万张胶片，CG技术与吉卜力少见的血腥镜头带来一系列视觉及心理上的震撼，宫崎骏放弃了理想主义，将人与自然视为不可调和的两个极端，指出人类首要问题是生存。,嗯，原来这是个反战的电影。虽说从故事到画面都很有气势，但是总觉得少了些打动人心的东西,所看过最有深度的动画了，居然有几分史诗的感觉。分镜头比许多真人电影还好，好棒，五星力荐,宫崎骏果然是最关注女性的导演之一。
杀人回忆,8.8,432530人评价,这并非一个寻求真相的故事，而是关于真到底相如何被整没了……,真实事件玩了全世界，电影玩了你，总觉得离真相很近了，而真相却是没有真相。★★★★★,这片给我的阴影才是史无前例好么？5年前大学拉片课上看的，看完了已经半夜12点，我走回寝室腿都抖的站不起来，一年中再也没吃过桃子。奉俊昊和宋康昊联手，真不是闹着玩的，经典至极。,又看了一遍，想当年第一次看这片时，我还恍惚觉得案子都没破就结束，什么玩意儿？！可多年过去，每一次重看，都更坚定地确定它的完美。一个没有找到凶手的故事，编导把它拍得悬疑跌宕而富有深意，看似普通实则卓尔不群，作为热爱电影的人，从这片里会深感电影的魅力,无懈可击！影片的焦点从不在连环杀人案本身，主线是每个人深陷泥潭的不能自拔，副线则是当时整个韩国社会的动荡不安，时间的推移不能洗刷罪恶，宋康昊结尾处的眼神映射出无限的沧桑；第一次犯罪现场的长镜头和追捕手淫者的快速剪辑这两段都快要让我哭出来了。
入殓师,8.8,436730人评价,整矫情了..做殡葬业需要那么多感怀身世和心理建设吗...在我们中国，这是一个超级暴利而令人羡慕的行业,对待死的敬意，犹如对待生的真诚。举重若轻。,日本人的表演还是太做作,"草野中木本拉奏提琴的容色有忧郁的神采.每一道程序日本人一贯的谨慎严肃和精微.对于逝去的人没有比这更好的尊重了.死亡并非代表一切终止了好的人生是一个自省的过程.于是才有谅解释怀充满了怜恤与爱的感情.感动由是草野上徜徉的音乐,飞起了生命的律动.",很简单的故事但确实是感人。关于死亡的仪式。自己关于死亡的三个记忆：去年年底以及今年上半年各参加了一个葬礼；高中一个同学在高考前因癌症去逝了；初中一个同学则在殡仪馆就职。
狩猎,9.1,232380人评价,实在是一部虐心的片子。感觉这样的故事很像时下微博流行的一些谣言，我们都喜欢耸动的新闻，人们不关注真相，更关注这个故事是否与自己预想的一致，或是对自己有利。而恶意一旦形成，将伴你一生。黑暗压抑的故事，麦德斯的表演很棒。这是个寓言，所以情节会略有刻意，尽可能的虐心。,即使整个社会抛弃了你，也要活得有尊严。叔顶着满头鲜血回到超市去要回属于自己的东西真是帅爆了=口=卢卡斯从没有抱怨过我什么都没有做你们却要这样对待我之类弱爆的怨言，而是咬牙挺胸堂堂正正的挺过去。如果恶意无法避免，至少要活得坚强。顺说我总觉得下一幕叔就会化身汉尼拔把全镇下饭…,前半部分悬念铺设出色，后半部分情绪掌控直击人心，点睛之笔的结局让人想起《家宴》。尽管是已经被讲过无数遍的故事，但温特伯格仍然能一步步将你带入其中，所有角色的心理和行为都是如此真实可信，也因此更感可怕，观影体验如身临其境般痛苦难熬，堪称一大虐片。麦德斯的表演依然上乘。,4.5。1.猎人与猎物的悖逆寓言，辩诬无可能。2.以孩童之谎倾覆成人世界，此题材惊艳度着实绝佳，然影像的本体外延有待加强，可参考雷诺阿[游戏规则]。3.战栗时刻：超市被殴重返、雨夜葬犬、林中暗枪。4.以教堂为爆发地，将集体无意识与赞美诗黑白同构。5.你在我的眼睛里看见了什么，你什么也没看见。,喜欢的瓦解，善意的负累。太爱这个戛然而止的精彩结尾了，它代表了所有的不信任：被碾碎的人性以及垮塌的社会。电影有两面：一是展现人群里趋炎附势，人云亦云的现状、二是悖了一条“孩子不说谎”的俗闻。现实世界里，我们没办法对人完全相信，但也因此没办法不信。这就是倒戈的开始，也是真相的绝境。
